,TIME,AREA,Household_Income_Outlook_CSI,Consumer_Spending_Outlook_CSI
0,201501,부산광역시,100,101
1,201502,부산광역시,100,103
2,201503,부산광역시,96,101
3,201504,부산광역시,101,102
4,201505,부산광역시,100,101
5,201506,부산광역시,96,102
6,201507,부산광역시,99,101
7,201508,부산광역시,98,104
8,201509,부산광역시,99,103
9,201510,부산광역시,103,103
10,201511,부산광역시,101,107
11,201512,부산광역시,101,99
12,201601,부산광역시,99,98
13,201602,부산광역시,97,99
14,201603,부산광역시,97,99
15,201604,부산광역시,97,100
16,201605,부산광역시,96,100
17,201606,부산광역시,93,98
18,201607,부산광역시,95,99
19,201608,부산광역시,96,101
20,201609,부산광역시,94,100
21,201610,부산광역시,97,101
22,201611,부산광역시,94,97
23,201612,부산광역시,93,96
24,201701,부산광역시,95,98
25,201702,부산광역시,95,101
26,201703,부산광역시,94,96
27,201704,부산광역시,97,101
28,201705,부산광역시,99,101
29,201706,부산광역시,100,103
30,201707,부산광역시,103,100
31,201708,부산광역시,101,100
32,201709,부산광역시,101,104
33,201710,부산광역시,101,104
34,201711,부산광역시,102,105
35,201712,부산광역시,101,103
36,201801,부산광역시,100,100
37,201802,부산광역시,99,103
38,201803,부산광역시,99,102
39,201804,부산광역시,98,101
40,201805,부산광역시,97,99
41,201806,부산광역시,94,102
42,201807,부산광역시,94,101
43,201808,부산광역시,93,102
44,201809,부산광역시,94,105
45,201810,부산광역시,94,105
46,201811,부산광역시,91,102
47,201812,부산광역시,92,101
48,201901,부산광역시,95,105
49,201902,부산광역시,91,102
50,201903,부산광역시,92,102
51,201904,부산광역시,94,105
52,201905,부산광역시,92,104
53,201906,부산광역시,92,99
54,201907,부산광역시,92,100
55,201908,부산광역시,89,97
56,201909,부산광역시,91,102
57,201910,부산광역시,92,103
58,201911,부산광역시,96,102
59,201912,부산광역시,95,103
60,202001,부산광역시,95,104
61,202002,부산광역시,90,101
62,202003,부산광역시,84,92
63,202004,부산광역시,76,85
64,202005,부산광역시,80,89
65,202006,부산광역시,84,92
66,202007,부산광역시,86,95
67,202008,부산광역시,86,99
68,202009,부산광역시,85,93
69,202010,부산광역시,87,98
70,202011,부산광역시,94,103
71,202012,부산광역시,85,97
72,202101,부산광역시,88,100
73,202102,부산광역시,87,100
74,202103,부산광역시,92,103
75,202104,부산광역시,92,101
76,202105,부산광역시,94,103
77,202106,부산광역시,97,107
78,202107,부산광역시,93,105
79,202108,부산광역시,90,101
80,202109,부산광역시,94,107
81,202110,부산광역시,94,107
82,202111,부산광역시,97,109
83,202112,부산광역시,97,107
84,202201,부산광역시,97,106
85,202202,부산광역시,95,106
86,202203,부산광역시,96,109
87,202204,부산광역시,97,109
88,202205,부산광역시,96,112
89,202206,부산광역시,92,105
90,202207,부산광역시,92,109
91,202208,부산광역시,91,106
92,202209,부산광역시,95,106
93,202210,부산광역시,92,107
94,201501,경상북도,102,108
95,201502,경상북도,102,110
96,201503,경상북도,100,108
97,201504,경상북도,100,109
98,201505,경상북도,102,107
99,201506,경상북도,97,103
100,201507,경상북도,100,106
101,201508,경상북도,102,105
102,201509,경상북도,102,110
103,201510,경상북도,101,108
104,201511,경상북도,99,108
105,201512,경상북도,99,106
106,201601,경상북도,100,105
107,201602,경상북도,98,107
108,201603,경상북도,100,107
109,201604,경상북도,98,108
110,201605,경상북도,98,105
111,201606,경상북도,97,104
112,201607,경상북도,100,106
113,201608,경상북도,99,107
114,201609,경상북도,99,106
115,201610,경상북도,100,104
116,201611,경상북도,95,102
117,201612,경상북도,95,102
118,201701,경상북도,92,102
119,201702,경상북도,94,103
120,201703,경상북도,94,102
121,201704,경상북도,97,104
122,201705,경상북도,103,107
123,201706,경상북도,101,108
124,201707,경상북도,101,110
125,201708,경상북도,101,111
126,201709,경상북도,100,108
127,201710,경상북도,101,110
128,201711,경상북도,104,111
129,201712,경상북도,101,110
130,201801,경상북도,101,107
131,201802,경상북도,100,105
132,201803,경상북도,100,109
133,201804,경상북도,100,109
134,201805,경상북도,100,110
135,201806,경상북도,99,107
136,201807,경상북도,97,106
137,201808,경상북도,97,108
138,201809,경상북도,96,107
139,201810,경상북도,96,108
140,201811,경상북도,95,109
141,201812,경상북도,94,105
142,201901,경상북도,94,107
143,201902,경상북도,93,105
144,201903,경상북도,94,108
145,201904,경상북도,95,107
146,201905,경상북도,95,107
147,201906,경상북도,94,104
148,201907,경상북도,92,104
149,201908,경상북도,91,101
150,201909,경상북도,91,102
151,201910,경상북도,91,103
152,201911,경상북도,93,104
153,201912,경상북도,93,106
154,202001,경상북도,94,106
155,202002,경상북도,91,103
156,202003,경상북도,80,85
157,202004,경상북도,78,86
158,202005,경상북도,79,85
159,202006,경상북도,83,92
160,202007,경상북도,87,94
161,202008,경상북도,88,96
162,202009,경상북도,87,94
163,202010,경상북도,93,100
164,202011,경상북도,93,101
165,202012,경상북도,91,99
166,202101,경상북도,93,100
167,202102,경상북도,93,101
168,202103,경상북도,93,103
169,202104,경상북도,96,103
170,202105,경상북도,98,107
171,202106,경상북도,97,112
172,202107,경상북도,98,108
173,202108,경상북도,96,104
174,202109,경상북도,97,109
175,202110,경상북도,98,109
176,202111,경상북도,99,113
177,202112,경상북도,97,109
178,202201,경상북도,97,110
179,202202,경상북도,99,108
180,202203,경상북도,97,111
181,202204,경상북도,100,113
182,202205,경상북도,96,115
183,202206,경상북도,97,112
184,202207,경상북도,94,109
185,202208,경상북도,96,109
186,202209,경상북도,96,107
187,202210,경상북도,94,108
188,201501,인천광역시,102,106
189,201502,인천광역시,100,103
190,201503,인천광역시,100,102
191,201504,인천광역시,100,105
192,201505,인천광역시,102,105
193,201506,인천광역시,98,104
194,201507,인천광역시,102,104
195,201508,인천광역시,99,106
196,201509,인천광역시,100,108
197,201510,인천광역시,102,109
198,201511,인천광역시,101,104
199,201512,인천광역시,101,105
200,201601,인천광역시,97,105
201,201602,인천광역시,97,105
202,201603,인천광역시,99,103
203,201604,인천광역시,99,103
204,201605,인천광역시,99,102
205,201606,인천광역시,97,102
206,201607,인천광역시,100,103
207,201608,인천광역시,100,105
208,201609,인천광역시,103,106
209,201610,인천광역시,100,104
210,201611,인천광역시,95,102
211,201612,인천광역시,99,102
212,201701,인천광역시,96,97
213,201702,인천광역시,96,102
214,201703,인천광역시,101,99
