,disYear,disMonth,disDate,disDay,cityCode,citySidoName,citySggName,disQuantity,disQuantityRate,disCount,disCountRate
0,2022,03,01,3,W01,서울특별시,종로구,4355690,3.72,2925,3.52
1,2022,03,02,4,W01,서울특별시,종로구,3566500,3.04,2552,3.07
2,2022,03,03,5,W01,서울특별시,종로구,3664100,3.13,2546,3.07
3,2022,03,04,6,W01,서울특별시,종로구,3315450,2.83,2433,2.93
4,2022,03,05,7,W01,서울특별시,종로구,3612300,3.08,2555,3.08
5,2022,03,06,1,W01,서울특별시,종로구,4222150,3.6,2873,3.46
6,2022,03,07,2,W01,서울특별시,종로구,4094750,3.5,2852,3.44
7,2022,03,08,3,W01,서울특별시,종로구,3510150,3.0,2544,3.06
8,2022,03,09,4,W01,서울특별시,종로구,3833400,3.27,2801,3.37
9,2022,03,10,5,W01,서울특별시,종로구,3580900,3.06,2538,3.06
0,2022,03,01,3,W02,서울특별시,중구,6036200,3.33,4604,3.22
1,2022,03,02,4,W02,서울특별시,중구,5783350,3.19,4640,3.24
2,2022,03,03,5,W02,서울특별시,중구,5870300,3.24,4639,3.24
3,2022,03,04,6,W02,서울특별시,중구,5018400,2.77,4090,2.86
4,2022,03,05,7,W02,서울특별시,중구,5697300,3.14,4343,3.04
5,2022,03,06,1,W02,서울특별시,중구,7085150,3.91,5427,3.79
6,2022,03,07,2,W02,서울특별시,중구,6117100,3.37,4640,3.24
7,2022,03,08,3,W02,서울특별시,중구,5097200,2.81,4076,2.85
8,2022,03,09,4,W02,서울특별시,중구,6413750,3.54,4980,3.48
9,2022,03,10,5,W02,서울특별시,중구,5586400,3.08,4557,3.18
0,2022,03,01,3,W03,서울특별시,용산구,1059450,3.59,766,3.62
1,2022,03,02,4,W03,서울특별시,용산구,922300,3.13,613,2.9
2,2022,03,03,5,W03,서울특별시,용산구,887700,3.01,676,3.2
3,2022,03,04,6,W03,서울특별시,용산구,860100,2.91,606,2.87
4,2022,03,05,7,W03,서울특별시,용산구,992700,3.36,697,3.3
5,2022,03,06,1,W03,서울특별시,용산구,1076350,3.65,793,3.75
6,2022,03,07,2,W03,서울특별시,용산구,918150,3.11,651,3.08
7,2022,03,08,3,W03,서울특별시,용산구,882650,2.99,639,3.02
8,2022,03,09,4,W03,서울특별시,용산구,1105100,3.75,759,3.59
9,2022,03,10,5,W03,서울특별시,용산구,816950,2.77,634,3.0
0,2022,03,01,3,W04,서울특별시,성동구,16808550,3.43,11489,3.28
1,2022,03,02,4,W04,서울특별시,성동구,15861650,3.24,11367,3.25
2,2022,03,03,5,W04,서울특별시,성동구,15474700,3.16,11205,3.2
3,2022,03,04,6,W04,서울특별시,성동구,13839400,2.82,10158,2.9
4,2022,03,05,7,W04,서울특별시,성동구,14703000,3.0,10080,2.88
5,2022,03,06,1,W04,서울특별시,성동구,20590850,4.2,13769,3.93
6,2022,03,07,2,W04,서울특별시,성동구,16856950,3.44,11594,3.31
7,2022,03,08,3,W04,서울특별시,성동구,13975700,2.85,10149,2.9
8,2022,03,09,4,W04,서울특별시,성동구,16634450,3.4,11901,3.4
9,2022,03,10,5,W04,서울특별시,성동구,15948100,3.26,11406,3.26
0,2022,03,01,3,W05,서울특별시,광진구,11714320,3.71,7880,3.58
1,2022,03,02,4,W05,서울특별시,광진구,10060560,3.19,6960,3.16
2,2022,03,03,5,W05,서울특별시,광진구,9718370,3.08,6898,3.13
3,2022,03,04,6,W05,서울특별시,광진구,8757890,2.78,6361,2.89
4,2022,03,05,7,W05,서울특별시,광진구,9639690,3.06,6546,2.97
5,2022,03,06,1,W05,서울특별시,광진구,11941440,3.79,7762,3.52
6,2022,03,07,2,W05,서울특별시,광진구,10954560,3.47,7385,3.35
7,2022,03,08,3,W05,서울특별시,광진구,9620320,3.05,6813,3.09
8,2022,03,09,4,W05,서울특별시,광진구,10867410,3.44,7519,3.41
9,2022,03,10,5,W05,서울특별시,광진구,9675760,3.07,7033,3.19
0,2022,03,01,3,W06,서울특별시,동대문구,16885900,3.42,11364,3.27
1,2022,03,02,4,W06,서울특별시,동대문구,16336950,3.31,11410,3.28
2,2022,03,03,5,W06,서울특별시,동대문구,15117200,3.06,10843,3.12
3,2022,03,04,6,W06,서울특별시,동대문구,13903000,2.81,10144,2.92
4,2022,03,05,7,W06,서울특별시,동대문구,15123250,3.06,10115,2.91
5,2022,03,06,1,W06,서울특별시,동대문구,20148250,4.08,13145,3.78
6,2022,03,07,2,W06,서울특별시,동대문구,16311200,3.3,11103,3.2
7,2022,03,08,3,W06,서울특별시,동대문구,13884550,2.81,9969,2.87
8,2022,03,09,4,W06,서울특별시,동대문구,17599150,3.56,12192,3.51
9,2022,03,10,5,W06,서울특별시,동대문구,15513550,3.14,11118,3.2
0,2022,03,01,3,W07,서울특별시,중랑구,19127250,3.46,12762,3.31
1,2022,03,02,4,W07,서울특별시,중랑구,17643500,3.19,12360,3.21
2,2022,03,03,5,W07,서울특별시,중랑구,16711200,3.03,11612,3.01
3,2022,03,04,6,W07,서울특별시,중랑구,15772850,2.86,11248,2.92
4,2022,03,05,7,W07,서울특별시,중랑구,16778400,3.04,11500,2.98
5,2022,03,06,1,W07,서울특별시,중랑구,22380550,4.05,14706,3.82
6,2022,03,07,2,W07,서울특별시,중랑구,18665250,3.38,12633,3.28
7,2022,03,08,3,W07,서울특별시,중랑구,15907550,2.88,11273,2.93
8,2022,03,09,4,W07,서울특별시,중랑구,18843400,3.41,13255,3.44
9,2022,03,10,5,W07,서울특별시,중랑구,16448000,2.98,11780,3.06
0,2022,03,01,3,W08,서울특별시,성북구,16082900,3.37,10616,3.22
1,2022,03,02,4,W08,서울특별시,성북구,15605400,3.27,10850,3.29
2,2022,03,03,5,W08,서울특별시,성북구,14459450,3.03,10172,3.08
3,2022,03,04,6,W08,서울특별시,성북구,12703300,2.66,9209,2.79
4,2022,03,05,7,W08,서울특별시,성북구,14144800,2.96,9503,2.88
5,2022,03,06,1,W08,서울특별시,성북구,20047000,4.19,12898,3.91
6,2022,03,07,2,W08,서울특별시,성북구,15890200,3.33,10791,3.27
7,2022,03,08,3,W08,서울특별시,성북구,13570050,2.84,9515,2.88
8,2022,03,09,4,W08,서울특별시,성북구,16669600,3.49,11505,3.49
9,2022,03,10,5,W08,서울특별시,성북구,14648200,3.07,10341,3.13
0,2022,03,01,3,W09,서울특별시,강북구,8649450,3.58,5453,3.33
1,2022,03,02,4,W09,서울특별시,강북구,8195580,3.39,5565,3.4
2,2022,03,03,5,W09,서울특별시,강북구,6962000,2.88,4899,3.0
3,2022,03,04,6,W09,서울특별시,강북구,6741650,2.79,4739,2.9
4,2022,03,05,7,W09,서울특별시,강북구,7092100,2.94,4712,2.88
5,2022,03,06,1,W09,서울특별시,강북구,9483050,3.93,5974,3.65
6,2022,03,07,2,W09,서울특별시,강북구,7915600,3.28,5160,3.16
7,2022,03,08,3,W09,서울특별시,강북구,7522400,3.11,5158,3.15
8,2022,03,09,4,W09,서울특별시,강북구,8728150,3.61,5978,3.66
9,2022,03,10,5,W09,서울특별시,강북구,7300950,3.02,5073,3.1
0,2022,03,01,3,W0A,서울특별시,도봉구,25515450,3.0,17924,3.3
1,2022,03,02,4,W0A,서울특별시,도봉구,27889600,3.28,17862,3.29
2,2022,03,03,5,W0A,서울특별시,도봉구,26512750,3.12,17051,3.14
3,2022,03,04,6,W0A,서울특별시,도봉구,25992700,3.05,15897,2.93
4,2022,03,05,7,W0A,서울특별시,도봉구,25690800,3.02,16443,3.03
5,2022,03,06,1,W0A,서울특별시,도봉구,29032650,3.41,20040,3.69
6,2022,03,07,2,W0A,서울특별시,도봉구,30936450,3.64,17828,3.28
7,2022,03,08,3,W0A,서울특별시,도봉구,25749500,3.03,15882,2.92
8,2022,03,09,4,W0A,서울특별시,도봉구,24998650,2.94,18525,3.41
9,2022,03,10,5,W0A,서울특별시,도봉구,27789100,3.27,17256,3.18
0,2022,03,01,3,W0B,서울특별시,노원구,53231500,3.62,37910,3.42
1,2022,03,02,4,W0B,서울특별시,노원구,48250950,3.28,36389,3.28
2,2022,03,03,5,W0B,서울특별시,노원구,44031250,2.99,34399,3.1
3,2022,03,04,6,W0B,서울특별시,노원구,40989000,2.79,32183,2.9
4,2022,03,05,7,W0B,서울특별시,노원구,45366100,3.08,33370,3.01
5,2022,03,06,1,W0B,서울특별시,노원구,57797949,3.93,40402,3.64
6,2022,03,07,2,W0B,서울특별시,노원구,49330100,3.35,35798,3.23
7,2022,03,08,3,W0B,서울특별시,노원구,44007450,2.99,33701,3.04
8,2022,03,09,4,W0B,서울특별시,노원구,52007300,3.53,38571,3.47
9,2022,03,10,5,W0B,서울특별시,노원구,44418650,3.02,34608,3.12
0,2022,03,01,3,W0C,서울특별시,은평구,9355800,3.41,6052,3.27
1,2022,03,02,4,W0C,서울특별시,은평구,8226650,3.0,5515,2.98
2,2022,03,03,5,W0C,서울특별시,은평구,8795750,3.21,6055,3.27
3,2022,03,04,6,W0C,서울특별시,은평구,7200300,2.62,5021,2.71
4,2022,03,05,7,W0C,서울특별시,은평구,8418000,3.07,5527,2.98
5,2022,03,06,1,W0C,서울특별시,은평구,12467900,4.54,7913,4.27
6,2022,03,07,2,W0C,서울특별시,은평구,9579950,3.49,6450,3.48
7,2022,03,08,3,W0C,서울특별시,은평구,7111300,2.59,4907,2.65
8,2022,03,09,4,W0C,서울특별시,은평구,9177950,3.35,6204,3.35
9,2022,03,10,5,W0C,서울특별시,은평구,8863100,3.23,6184,3.34
0,2022,03,01,3,W0D,서울특별시,서대문구,17108000,3.47,11936,3.29
