,disYear,disMonth,disDay,disDayCount,cityCode,citySidoName,citySggName,disQuantity,dayAverQuantity,disCount,dayAverCount
0,2018,01,1,4,W01,서울특별시,종로구,10833550,2708388,6229,1557
1,2018,01,2,5,W01,서울특별시,종로구,14183000,2836600,8194,1639
2,2018,01,3,5,W01,서울특별시,종로구,12561450,2512290,7544,1509
3,2018,01,4,5,W01,서울특별시,종로구,11577450,2315490,7221,1444
4,2018,01,5,4,W01,서울특별시,종로구,9024750,2256188,5604,1401
5,2018,01,6,4,W01,서울특별시,종로구,8904950,2226238,5559,1390
6,2018,01,7,4,W01,서울특별시,종로구,9115700,2278925,5461,1365
0,2018,02,1,4,W01,서울특별시,종로구,10754600,2688650,6087,1522
1,2018,02,2,4,W01,서울특별시,종로구,11619300,2904825,6655,1664
2,2018,02,3,4,W01,서울특별시,종로구,10663550,2665888,6240,1560
3,2018,02,4,4,W01,서울특별시,종로구,10184950,2546238,6160,1540
4,2018,02,5,4,W01,서울특별시,종로구,10945550,2736388,6489,1622
5,2018,02,6,4,W01,서울특별시,종로구,9274050,2318513,5630,1408
6,2018,02,7,4,W01,서울특별시,종로구,9422900,2355725,5428,1357
0,2018,03,1,4,W01,서울특별시,종로구,11196450,2799113,6752,1688
1,2018,03,2,4,W01,서울특별시,종로구,11280750,2820188,6857,1714
2,2018,03,3,4,W01,서울특별시,종로구,10308650,2577163,6431,1608
3,2018,03,4,4,W01,서울특별시,종로구,9487550,2371888,6268,1567
4,2018,03,5,5,W01,서울특별시,종로구,11737250,2347450,7687,1537
5,2018,03,6,5,W01,서울특별시,종로구,11481350,2296270,7627,1525
6,2018,03,7,5,W01,서울특별시,종로구,11599100,2319820,7336,1467
0,2018,04,1,5,W01,서울특별시,종로구,13639700,2727940,8530,1706
1,2018,04,2,5,W01,서울특별시,종로구,13917500,2783500,8764,1753
2,2018,04,3,4,W01,서울특별시,종로구,10688600,2672150,6930,1733
3,2018,04,4,4,W01,서울특별시,종로구,9519600,2379900,6525,1631
4,2018,04,5,4,W01,서울특별시,종로구,8777750,2194438,6110,1528
5,2018,04,6,4,W01,서울특별시,종로구,8961800,2240450,6209,1552
6,2018,04,7,4,W01,서울특별시,종로구,8589900,2147475,5695,1424
0,2018,05,1,4,W01,서울특별시,종로구,11154900,2788725,7207,1802
1,2018,05,2,4,W01,서울특별시,종로구,11826500,2956625,7705,1926
2,2018,05,3,5,W01,서울특별시,종로구,13613050,2722610,9011,1802
3,2018,05,4,5,W01,서울특별시,종로구,12301850,2460370,8459,1692
4,2018,05,5,5,W01,서울특별시,종로구,12159750,2431950,8424,1685
5,2018,05,6,4,W01,서울특별시,종로구,10063200,2515800,6901,1725
6,2018,05,7,4,W01,서울특별시,종로구,9348300,2337075,6282,1571
